fila,ejeX,ejeY_experim,ejeY_teorico,error_abs
0,0,0,0,0
1,1,2.53,2.53059,0.000590086
2,2,3.72,3.71857,0.0014255
3,3,4.61,4.61106,0.00105524
4,4,5.22,5.21986,0.000137806
5,5,5.54,5.53796,0.00203609
6,6,5.68,5.68213,0.00213385
7,7,5.78,5.78162,0.00162172
8,8,5.85,5.85028,0.000277042
9,9,5.9,5.89765,0.00234652
10,10,5.93,5.93035,0.000348568
