x,y,z,T,tt
3960,9650,2592.5,0.62270833,0.160387984
3980,9650,2577.5,0.61416667,0.151846324
3980,9650,2592.5,0.73,0.267679654
4000,9650,2592.5,0.62083333,0.158512984
3980,9670,2592.5,0.57083333,0.108512984
4060,9350,2622.5,0.38,-0.082320346
4080,9350,2622.5,0.35,-0.112320346
4100,9350,2607.5,0.44,-0.022320346
4120,9350,2607.5,0.503125,0.040804654
4100,9330,2622.5,0.34,-0.122320346
4120,9330,2622.5,0.4625,0.000179654
4100,9350,2622.5,0.26,-0.202320346
4120,9350,2622.5,0.51375,0.051429654
4160,9330,2607.5,0.39,-0.072320346
4140,9350,2607.5,0.62,0.157679654
4160,9350,2607.5,0.895625,0.433304654
4140,9330,2622.5,0.65041667,0.188096324
4160,9330,2622.5,0.579375,0.117054654
4140,9350,2622.5,0.79,0.327679654
4160,9350,2622.5,1.04,0.577679654
4180,9330,2607.5,0.36,-0.102320346
4180,9350,2607.5,0.426875,-0.035445346
4180,9330,2622.5,0.34,-0.122320346
4200,9330,2622.5,0.41916667,-0.043153676
4180,9350,2622.5,0.721875,0.259554654
4200,9350,2622.5,0.76458333,0.302262984
4040,9390,2622.5,1.26,0.797679654
4080,9370,2607.5,0.46,-0.002320346
4060,9390,2607.5,0.925,0.462679654
4080,9390,2607.5,0.59,0.127679654
4060,9370,2622.5,0.515,0.052679654
4080,9370,2622.5,0.45,-0.012320346
4060,9390,2622.5,0.9175,0.455179654
4080,9390,2622.5,0.53,0.067679654
4100,9370,2607.5,0.34,-0.122320346
4120,9370,2607.5,0.49166667,0.029346324
4100,9390,2607.5,0.513125,0.050804654
4120,9390,2607.5,0.42645833,-0.035862016
4100,9370,2622.5,0.49,0.027679654
4120,9370,2622.5,0.57145833,0.109137984
4100,9390,2622.5,0.49416667,0.031846324
4120,9390,2622.5,0.43375,-0.028570346
4140,9370,2607.5,0.62,0.157679654
4160,9370,2607.5,1.29083333,0.828512984
4140,9390,2607.5,0.46583333,0.003512984
4160,9390,2607.5,1.05208333,0.589762984
4140,9370,2622.5,0.82,0.357679654
4160,9370,2622.5,1.37625,0.913929654
4140,9390,2622.5,0.565,0.102679654
4160,9390,2622.5,1.13083333,0.668512984
4180,9370,2607.5,0.628125,0.165804654
4180,9390,2607.5,0.51020833,0.047887984
4180,9370,2622.5,1.065625,0.603304654
4200,9370,2622.5,1.07625,0.613929654
4180,9390,2622.5,0.89979167,0.437471324
4000,9410,2622.5,1.36,0.897679654
3980,9430,2622.5,1.15,0.687679654
4000,9430,2622.5,1.43,0.967679654
4040,9430,2607.5,1.46,0.997679654
4040,9410,2622.5,1.44,0.977679654
4020,9430,2622.5,1.37,0.907679654
4040,9430,2622.5,1.57,1.107679654
4060,9410,2607.5,1.4,0.937679654
4080,9410,2607.5,0.83,0.367679654
4060,9430,2607.5,1.26,0.797679654
4080,9430,2607.5,0.90625,0.443929654
4060,9410,2622.5,1.23,0.767679654
4080,9410,2622.5,0.701875,0.239554654
4060,9430,2622.5,1.19,0.727679654
4080,9430,2622.5,0.735,0.272679654
4100,9410,2607.5,0.505625,0.043304654
4120,9410,2607.5,0.52,0.057679654
4100,9430,2607.5,0.5375,0.075179654
4120,9430,2607.5,0.51,0.047679654
4100,9410,2622.5,0.5275,0.065179654
4120,9410,2622.5,0.44,-0.022320346
4100,9430,2622.5,0.50708333,0.044762984
4120,9430,2622.5,0.4325,-0.029820346
4140,9410,2607.5,0.373125,-0.089195346
4160,9410,2607.5,0.40020833,-0.062112016
4140,9430,2607.5,0.44833333,-0.013987016
4160,9430,2607.5,0.32625,-0.136070346
4140,9410,2622.5,0.3225,-0.139820346
4160,9410,2622.5,0.520625,0.058304654
4140,9430,2622.5,0.4425,-0.019820346
4160,9430,2622.5,0.50645833,0.044137984
4180,9410,2622.5,0.765,0.302679654
4180,9430,2622.5,0.78916667,0.326846324
3920,9470,2622.5,1.51,1.047679654
3960,9450,2607.5,1.41,0.947679654
3940,9470,2607.5,1.53,1.067679654
3960,9470,2607.5,1.5,1.037679654
3940,9450,2622.5,1.53,1.067679654
3960,9450,2622.5,1.32,0.857679654
3940,9470,2622.5,1.5,1.037679654
3960,9470,2622.5,1.4,0.937679654
3980,9450,2607.5,1.45,0.987679654
4000,9450,2607.5,1.48,1.017679654
3980,9470,2607.5,1.48,1.017679654
4000,9470,2607.5,1.32,0.857679654
3980,9450,2622.5,1.27,0.807679654
4000,9450,2622.5,1.42,0.957679654
3980,9470,2622.5,1.37,0.907679654
4000,9470,2622.5,1.18,0.717679654
4020,9450,2607.5,1.37,0.907679654
4040,9450,2607.5,1.47,1.007679654
4020,9470,2607.5,1.25,0.787679654
4040,9470,2607.5,1.35,0.887679654
4020,9450,2622.5,1.45,0.987679654
4040,9450,2622.5,1.48,1.017679654
4020,9470,2622.5,1.26,0.797679654
4040,9470,2622.5,1.36,0.897679654
4060,9450,2607.5,1.21,0.747679654
4080,9450,2607.5,0.786875,0.324554654
4060,9470,2607.5,1.278125,0.815804654
4080,9470,2607.5,0.62,0.157679654
4060,9450,2622.5,1.2025,0.740179654
4080,9450,2622.5,0.7175,0.255179654
4060,9470,2622.5,1.2925,0.830179654
4080,9470,2622.5,0.6175,0.155179654
