nromue,midx,midy,midz,cut,cus,zmod_n
P100131184X,4176.39,8481.86,2892.5,0.157,0.095,1
P100131185X,4178.02,8475.71,2892.5,0.053,0.006,1
P100131186X,4167.66,8473.92,2892.5,0.104,,1
P100131647X,,,2892.5,0.753,0.568,3
P100132349X,3810.88,8831.09,2892.5,0.033,0.016,91
P100132350X,3812.94,8820.69,2892.5,0.036,0.02,1
P100132351X,3818.04,8812.92,2892.5,0.026,0.011,1
P100132352X,3823.95,8811.27,2892.5,0.02,0.004,1
